id,first_name,last_name,position,team_abbr,team_name,quotation,avg_pts,popularity,is_injured,probability_of_playing,opponent_abbr,round_number,started_from_bench,label
11183,Alija,Islamovic,Center,BOS,Bosna BH Telecom Sarajevo,5.8,0,0,false,1,LIE,2,true,opponent
11184,James,Banks,Center,BOS,Bosna BH Telecom Sarajevo,8,0,0,false,1,LIE,2,true,opponent
11185,Deandre,Gholston,Guard,BOS,Bosna BH Telecom Sarajevo,8.4,0,0,false,1,LIE,2,true,opponent
11186,Nikola,Popovic,Forward,BOS,Bosna BH Telecom Sarajevo,8.8,0,0,false,1,LIE,2,true,opponent
11187,Darko,Talic,Guard,BOS,Bosna BH Telecom Sarajevo,8.9,0,0,false,1,LIE,2,true,opponent
11188,Adin,Mandzukic,Guard,BOS,Bosna BH Telecom Sarajevo,4.4,0,0,false,1,LIE,2,true,opponent
11189,Dante,Maddox,Guard,DER,Baglietto Derthona Tortona,11.9,0,0,false,1,RIG,1,true,opponent
11190,Prentiss,Hubb,Guard,DER,Baglietto Derthona Tortona,11.1,0,0,false,1,RIG,1,true,opponent
11191,Dominik,Olejniczak,Center,DER,Baglietto Derthona Tortona,10.8,0,0,false,1,RIG,1,true,opponent
11192,Aljami,Durham,Guard,DER,Baglietto Derthona Tortona,10.7,0,0,false,1,RIG,1,true,opponent
11193,Justin,Gorham,Forward,DER,Baglietto Derthona Tortona,9.6,0,0,false,1,RIG,1,true,opponent
11194,Giordano,Bortolani,Guard,DER,Baglietto Derthona Tortona,8.5,0,0,false,1,RIG,1,true,opponent
11195,Mario,Fioretti,Head Coach,DER,Baglietto Derthona Tortona,6.5,0,0,false,1,RIG,1,true,opponent
11196,Andrea,Pecchia,Guard,DER,Baglietto Derthona Tortona,5.8,0,0,false,1,RIG,1,true,opponent
11197,Edoardo,Di Meo,Guard,DER,Baglietto Derthona Tortona,4,0,0,false,1,RIG,1,true,opponent
11198,Giulio,Gazzotti,Forward,DER,Baglietto Derthona Tortona,4,0,0,false,1,RIG,1,true,opponent
11199,Marcquise,Reed,Guard,BKS,Bahcesehir College Istanbul,12.2,0,0,false,1,ROM,2,true,opponent
11200,Damien,Inglis,Forward,BKS,Bahcesehir College Istanbul,9,0,0,false,1,ROM,2,true,opponent
11201,David,Dileo,Forward,BKS,Bahcesehir College Istanbul,8.3,0,0,false,1,ROM,2,true,opponent
11202,Maxim,Mutaf,Forward,BKS,Bahcesehir College Istanbul,7,0,0,false,1,ROM,2,true,opponent
11203,Demond,Robinson,Forward,BLK,Balkan Botevgrad,11.4,0,0,false,1,ULM,2,true,opponent
11204,Taj,Green,Forward,BLK,Balkan Botevgrad,10.6,0,0,false,1,ULM,2,true,opponent
